"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13105","To Verify the sign-in functionality on the Home page","firefox","2026-01-28","passed","2026-01-28","","HomePage.spec.ts","",""
"","13232","To verify the Henry Schein icon is present on the Home page","firefox","2026-01-28","passed","2026-01-28","","HomePage.spec.ts","",""
"","13765","To verify the Henry Schein icon is present on the Home page","chromium","2026-01-28","passed","2026-01-28","","HomePage.spec.ts","",""
"","12340","To Verify the sign-in functionality on the Home page","chromium","2026-01-28","passed","2026-01-28","","HomePage.spec.ts","",""
