"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3538","To Verify the sign-in functionality on the Home page","firefox","2026-01-28","failed","2026-01-28","","HomePage.spec.ts","",""
"","33565","To verify the Henry Schein icon is present on the Home page","webkit","2026-01-28","broken","2026-01-28","","HomePage.spec.ts","",""
"","7784","To Verify the sign-in functionality on the Home page","webkit","2026-01-28","failed","2026-01-28","","HomePage.spec.ts","",""
"","11030","To Verify the sign-in functionality on the Home page","chromium","2026-01-28","passed","2026-01-28","","HomePage.spec.ts","",""
"","16570","To verify the Henry Schein icon is present on the Home page","chromium","2026-01-28","passed","2026-01-28","","HomePage.spec.ts","",""
"","33110","To verify the Henry Schein icon is present on the Home page","firefox","2026-01-28","broken","2026-01-28","","HomePage.spec.ts","",""
